SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2018,NPOPCHG_2018,BIRTHS2018,DEATHS2018,NATURALINC2018,INTERNATIONALMIG2018,DOMESTICMIG2018,NETMIG2018,RESIDUAL2018,GQESTIMATES2018,RBIRTH2018,RDEATH2018,RNATURALINC2018,RINTERNATIONALMIG2018,RDOMESTICMIG2018,RNETMIG2018
50,3,6,1,69,Alabama,Houston County,104722,349,1272,1180,92,39,224,263,-6,1416,12.16671848,11.28673569,0.879982783,0.37303618,2.142566776,2.515602956
50,3,6,1,71,Alabama,Jackson County,51736,-171,570,679,-109,10,-69,-59,-3,597,10.99929566,13.10266974,-2.103374082,0.192970099,-1.331493685,-1.138523586
50,3,6,1,73,Alabama,Jefferson County,659300,-246,8412,7306,1106,462,-1783,-1321,-31,16694,12.75660691,11.07938304,1.677223876,0.700612505,-2.703878997,-2.003266492
50,3,6,1,75,Alabama,Lamar County,13844,-58,135,195,-60,-1,4,3,-1,217,9.731132416,14.05608016,-4.32494774,-0.072082462,0.288329849,0.216247387
50,3,6,1,77,Alabama,Lauderdale County,92387,-204,866,1116,-250,28,22,50,-4,2086,9.363275633,12.06629978,-2.703024143,0.302738704,0.237866125,0.540604829
50,3,6,1,79,Alabama,Lawrence County,32957,-120,358,411,-53,-3,-61,-64,-3,229,10.84289911,12.44813278,-1.605233668,-0.090862283,-1.847533089,-1.938395372
50,3,6,1,81,Alabama,Lee County,163941,2300,1865,1114,751,347,1206,1553,-4,4958,11.4564073,6.843130149,4.613277147,2.13156747,7.408271956,9.539839426
50,3,6,1,83,Alabama,Limestone County,96174,2098,995,842,153,34,1905,1939,6,2696,10.45992116,8.85151117,1.608409987,0.357424442,20.02628121,20.38370565
50,3,6,1,85,Alabama,Lowndes County,9974,-130,119,138,-19,-2,-110,-112,1,96,11.8537703,13.74638908,-1.892618787,-0.19922303,-10.95726666,-11.15648969
50,3,6,1,87,Alabama,Macon County,18439,-372,172,243,-71,-2,-300,-302,1,1723,9.234899329,13.04697987,-3.812080537,-0.10738255,-16.10738255,-16.2147651
50,3,6,1,89,Alabama,Madison County,366519,4854,4149,3207,942,531,3374,3905,7,8320,11.39547147,8.808213309,2.587258166,1.458422597,9.266888589,10.72531119
50,3,6,1,91,Alabama,Marengo County,19066,-300,230,276,-46,2,-256,-254,0,254,11.96919234,14.36303081,-2.393838468,0.104079933,-13.32223147,-13.21815154
50,3,6,1,93,Alabama,Marion County,29763,-8,287,404,-117,1,111,112,-3,750,9.641549367,13.57207646,-3.930527094,0.033594249,3.728961602,3.76255585
50,3,6,1,95,Alabama,Marshall County,96109,500,1363,1132,231,43,230,273,-4,1046,14.21880053,11.80901115,2.409789378,0.448575512,2.39935739,2.847932901
50,3,6,1,97,Alabama,Mobile County,413757,-758,5337,4500,837,568,-2152,-1584,-11,7277,12.88707091,10.86599571,2.021075202,1.371530125,-5.196360616,-3.82483049
50,3,6,1,99,Alabama,Monroe County,21067,-235,204,283,-79,-2,-155,-157,1,230,9.629682079,13.35882367,-3.729141589,-0.094408648,-7.316670207,-7.411078855
50,3,6,1,101,Alabama,Montgomery County,225763,-1316,3047,2190,857,242,-2416,-2174,1,9120,13.45723232,9.672247716,3.784984608,1.068805455,-10.67038835,-9.601582892
50,3,6,1,103,Alabama,Morgan County,119089,278,1410,1333,77,83,126,209,-8,1998,11.85372005,11.20638924,0.647330811,0.697772173,1.0592686,1.757040773
50,3,6,1,105,Alabama,Perry County,9140,-179,107,131,-24,-1,-155,-156,1,783,11.59326074,14.19361829,-2.600357549,-0.108348231,-16.79397584,-16.90232407
50,3,6,1,107,Alabama,Pickens County,19938,-244,214,221,-7,2,-242,-240,3,1776,10.66799601,11.01694915,-0.348953141,0.099700897,-12.06380857,-11.96410768
50,3,6,1,109,Alabama,Pike County,33338,-97,344,344,0,101,-198,-97,0,2241,10.30356581,10.30356581,0,3.025174846,-5.930540787,-2.905365941
50,3,6,1,111,Alabama,Randolph County,22725,42,248,312,-64,-4,111,107,-1,400,10.92318534,13.74207188,-2.81888654,-0.176180409,4.889006343,4.712825934
50,3,6,1,113,Alabama,Russell County,57781,753,755,654,101,-32,682,650,2,574,13.152279,11.39283506,1.759443946,-0.557447587,11.8806017,11.32315411
50,3,6,1,115,Alabama,St. Clair County,88690,714,1019,960,59,32,621,653,2,1562,11.53589259,10.86796554,0.667927049,0.362265518,7.030215208,7.392480726
50,3,6,1,117,Alabama,Shelby County,215707,1978,2282,1571,711,145,1136,1281,-14,2512,10.62789333,7.316573366,3.311319964,0.675304353,5.290660308,5.965964661
50,3,6,1,119,Alabama,Sumter County,12691,-89,128,148,-20,39,-107,-68,-1,939,10.05064583,11.62105924,-1.570413411,3.062306152,-8.401711751,-5.339405599
50,3,6,1,121,Alabama,Talladega County,79828,-194,833,1063,-230,23,17,40,-4,2942,10.42227088,13.29996872,-2.877697842,0.287769784,0.212699406,0.50046919
50,3,6,1,123,Alabama,Tallapoosa County,40497,-116,409,556,-147,-10,44,34,-3,576,10.08506966,13.70977685,-3.624707188,-0.24657872,1.084946369,0.838367649
50,3,6,1,125,Alabama,Tuscaloosa County,208911,1202,2488,1808,680,232,295,527,-5,10557,11.9437377,8.67937209,3.264365609,1.113724737,1.41615861,2.529883347
50,3,6,1,127,Alabama,Walker County,63711,-224,745,998,-253,4,31,35,-6,851,11.67290789,15.63699607,-3.964088181,0.062673331,0.485718315,0.548391646
50,3,6,1,129,Alabama,Washington County,16378,-154,160,186,-26,12,-141,-129,1,147,9.723488301,11.30355515,-1.580066849,0.729261623,-8.568824066,-7.839562443
50,3,6,1,131,Alabama,Wilcox County,10627,-85,135,139,-4,0,-81,-81,0,108,12.65288908,13.02778949,-0.374900417,0,-7.591733446,-7.591733446
50,3,6,1,133,Alabama,Winston County,23660,-85,242,340,-98,2,13,15,-2,301,10.20989347,14.34447843,-4.134584959,0.084379285,0.548465352,0.632844637
40,4,9,2,0,Alaska,Alaska,737438,-2348,10693,4738,5955,2401,-10752,-8351,48,26772,14.47715445,6.414734665,8.062419782,3.250691838,-14.557034,-11.30634217
50,4,9,2,13,Alaska,Aleutians East Borough,3515,20,19,11,8,136,-125,11,1,1729,5.420827389,3.138373752,2.282453638,38.80171184,-35.66333809,3.138373752
50,4,9,2,16,Alaska,Aleutians West Census Area,5723,-3,31,11,20,150,-175,-25,2,2528,5.415320115,1.921565202,3.493754913,26.20316185,-30.57035549,-4.367193641
50,4,9,2,20,Alaska,Anchorage Municipality,291538,-2726,4252,1789,2463,1155,-6377,-5222,33,7605,14.5168504,6.107865798,8.408984606,3.943311904,-21.77186148,-17.82854958
50,4,9,2,50,Alaska,Bethel Census Area,18216,137,435,137,298,6,-170,-164,3,294,23.97024384,7.549249208,16.42099463,0.330624053,-9.367681499,-9.037057446
50,4,9,2,60,Alaska,Bristol Bay Borough,877,7,6,9,-3,1,9,10,0,16,6.868918145,10.30337722,-3.434459073,1.144819691,10.30337722,11.44819691
50,4,9,2,68,Alaska,Denali Borough,2059,-7,28,1,27,26,-61,-35,1,106,13.57575758,0.484848485,13.09090909,12.60606061,-29.57575758,-16.96969697
50,4,9,2,70,Alaska,Dillingham Census Area,5000,65,103,43,60,1,2,3,2,52,20.73477604,8.656265727,12.07851032,0.201308505,0.402617011,0.603925516
50,4,9,2,90,Alaska,Fairbanks North Star Borough,98971,-754,1580,505,1075,222,-2058,-1836,7,4816,15.90369207,5.083142086,10.82054999,2.234569392,-20.71506221,-18.48049281
50,4,9,2,100,Alaska,Haines Borough,2474,-44,16,10,6,2,-51,-49,-1,0,6.41025641,4.006410256,2.403846154,0.801282051,-20.43269231,-19.63141026
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2151,12,18,31,-13,16,9,25,0,0,8.391608392,14.45221445,-6.060606061,7.459207459,4.195804196,11.65501166
50,4,9,2,110,Alaska,Juneau City and Borough,32113,52,331,169,162,119,-231,-112,2,973,10.31570418,5.266930533,5.048773647,3.708667061,-7.199177237,-3.490510175
50,4,9,2,122,Alaska,Kenai Peninsula Borough,58533,11,702,523,179,84,-251,-167,-1,1654,11.99436163,8.93597027,3.058391355,1.435222759,-4.28858229,-2.853359532
50,4,9,2,130,Alaska,Ketchikan Gateway Borough,13918,36,160,94,66,58,-89,-31,1,252,11.51079137,6.762589928,4.748201439,4.172661871,-6.402877698,-2.230215827
50,4,9,2,150,Alaska,Kodiak Island Borough,13345,-174,207,57,150,81,-405,-324,0,386,15.4109589,4.243597379,11.16736153,6.030375223,-30.15187612,-24.12150089
50,4,9,2,158,Alaska,Kusilvak Census Area,8303,73,249,106,143,18,-87,-69,-1,9,30.12157503,12.82283917,17.29873586,2.177463255,-10.52440573,-8.346942479
50,4,9,2,164,Alaska,Lake and Peninsula Borough,1587,-20,38,19,19,8,-48,-40,1,37,23.7946149,11.89730745,11.89730745,5.009392611,-30.05635567,-25.04696306
50,4,9,2,170,Alaska,Matanuska-Susitna Borough,107610,1227,1495,608,887,137,207,344,-4,2082,13.97241966,5.682428865,8.289990794,1.280415715,1.934642722,3.215058437
50,4,9,2,180,Alaska,Nome Census Area,10008,40,210,111,99,11,-69,-58,-1,174,21.02523028,11.113336,9.911894273,1.101321586,-6.908289948,-5.806968362
50,4,9,2,185,Alaska,North Slope Borough,9872,41,156,69,87,28,-74,-46,0,2652,15.83515201,7.004009542,8.831142466,2.842206771,-7.511546465,-4.669339694
50,4,9,2,188,Alaska,Northwest Arctic Borough,7671,-96,166,79,87,12,-195,-183,0,396,21.50537634,10.23448633,11.27089001,1.554605519,-25.26233968,-23.70773416
50,4,9,2,195,Alaska,Petersburg Borough,3221,-38,22,42,-20,14,-32,-18,0,44,6.790123457,12.96296296,-6.172839506,4.320987654,-9.87654321,-5.555555556
50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,6422,-47,74,37,37,4,-88,-84,0,50,11.48087813,5.740439066,5.740439066,0.620588007,-13.65293616,-13.03234815
50,4,9,2,220,Alaska,Sitka City and Borough,8647,-39,88,39,49,53,-140,-87,-1,256,10.15404142,4.50008654,5.653954884,6.115502221,-16.15415681,-10.03865459
50,4,9,2,230,Alaska,Skagway Municipality,1148,-14,11,23,-12,2,-4,-2,0,32,9.523809524,19.91341991,-10.38961039,1.731601732,-3.463203463,-1.731601732
50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,6918,33,92,43,49,37,-54,-17,1,374,13.33043541,6.230529595,7.099905818,5.361153373,-7.824386003,-2.463232631
50,4,9,2,261,Alaska,Valdez-Cordova Census Area,9164,-60,113,50,63,2,-127,-125,2,187,12.29062432,5.438329345,6.852294975,0.217533174,-13.81335654,-13.59582336
50,4,9,2,275,Alaska,Wrangell City and Borough,2503,-8,22,55,-33,12,12,24,1,19,8.775428799,21.938572,-13.1631432,4.786597527,4.786597527,9.573195054
50,4,9,2,282,Alaska,Yakutat City and Borough,604,-3,4,0,4,4,-11,-7,0,18,6.606110652,0,6.606110652,6.606110652,-18.16680429,-11.56069364
50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,5327,-69,65,67,-2,2,-69,-67,0,31,12.12347291,12.49650284,-0.373029936,0.373029936,-12.86953278,-12.49650284
40,4,8,4,0,Arizona,Arizona,7171646,122770,83550,58806,24744,14335,83240,97575,451,159442,11.7506235,8.270582472,3.480041028,2.016100394,11.70702454,13.72312493
50,4,8,4,1,Arizona,Apache County,71818,273,972,702,270,62,-55,7,-4,931,13.5599841,9.793321847,3.766662249,0.864937257,-0.767283051,0.097654207
50,4,8,4,3,Arizona,Cochise County,126770,1780,1395,1294,101,187,1484,1671,8,5699,11.08198284,10.2796314,0.802351446,1.485541786,11.7890054,13.27454719
50,4,8,4,5,Arizona,Coconino County,142854,1747,1567,879,688,142,905,1047,12,12364,11.03672687,6.190991016,4.845735858,1.000137343,6.374114755,7.374252098
50,4,8,4,7,Arizona,Gila County,53889,260,567,795,-228,26,461,487,1,935,10.54707119,14.78822151,-4.241150319,0.483639949,8.575308321,9.058948269
50,4,8,4,9,Arizona,Graham County,38072,571,527,300,227,46,301,347,-3,2710,13.94677994,7.939343416,6.007436518,1.217365991,7.965807894,9.183173885
50,4,8,4,11,Arizona,Greenlee County,9483,15,147,50,97,16,-99,-83,1,34,15.51369321,5.276766398,10.23692681,1.688565247,-10.44799747,-8.75943222
50,4,8,4,12,Arizona,La Paz County,21098,363,208,306,-98,73,386,459,2,388,9.944302345,14.62959864,-4.685296297,3.49006765,18.45433031,21.94439796
50,4,8,4,13,Arizona,Maricopa County,4410824,81244,53688,32044,21644,9902,49423,59325,275,65225,12.28501566,7.332384178,4.95263148,2.265799155,11.30908823,13.57488739
50,4,8,4,15,Arizona,Mohave County,209550,2436,1754,3230,-1476,-180,4064,3884,28,4635,8.419253883,15.50409923,-7.084845343,-0.86400553,19.50732485,18.64331932
50,4,8,4,17,Arizona,Navajo County,110445,1301,1484,1070,414,70,820,890,-3,2010,13.51615974,9.745479054,3.770680681,0.637554705,7.468497967,8.106052671
50,4,8,4,19,Arizona,Pima County,1039073,11571,11251,9977,1274,2269,8001,10270,27,25279,10.88854748,9.655589562,1.232957914,2.195903851,7.743246676,9.939150527
50,4,8,4,21,Arizona,Pinal County,447138,15024,4539,3207,1332,868,12746,13614,78,25313,10.32468507,7.294836975,3.029848098,1.974405517,28.99282572,30.96723124
50,4,8,4,23,Arizona,Santa Cruz County,46511,-125,640,320,320,108,-552,-444,-1,437,13.74172008,6.870860038,6.870860038,2.318915263,-11.85223357,-9.533318303
50,4,8,4,25,Arizona,Yavapai County,231993,3938,1830,3011,-1181,-33,5119,5086,33,4199,7.95569158,13.08993844,-5.134246861,-0.143463291,22.25419956,22.11073627
50,4,8,4,27,Arizona,Yuma County,212128,2372,2981,1621,1360,779,236,1015,-3,9283,14.13184667,7.684576803,6.447269866,3.692958254,1.118790947,4.811749201
40,3,7,5,0,Arkansas,Arkansas,3013825,10828,37191,31093,6098,2260,2475,4735,-5,84227,12.36234012,10.33535644,2.02698368,0.751227143,0.822693442,1.573920585
50,3,7,5,1,Arkansas,Arkansas County,17769,-135,236,226,10,-2,-141,-143,-2,247,13.23129538,12.67064727,0.560648109,-0.112129622,-7.90513834,-8.017267962
50,3,7,5,3,Arkansas,Ashley County,20046,-273,239,256,-17,-5,-251,-256,0,191,11.84194228,12.68425616,-0.842313886,-0.247739378,-12.43651678,-12.68425616
50,3,7,5,5,Arkansas,Baxter County,41619,303,345,698,-353,15,642,657,-1,595,8.319768493,16.83245916,-8.512690661,0.361729065,15.48200398,15.84373304
50,3,7,5,7,Arkansas,Benton County,272608,6104,3685,1790,1895,478,3715,4193,16,2146,13.67062874,6.640549645,7.030079093,1.773286441,13.78192287,15.55520931
50,3,7,5,9,Arkansas,Boone County,37480,-6,479,452,27,-1,-29,-30,-3,465,12.77912654,12.05879999,0.720326548,-0.026678761,-0.77368407,-0.800362831
50,3,7,5,11,Arkansas,Bradley County,10897,44,122,130,-8,0,52,52,0,226,11.21839081,11.95402299,-0.735632184,0,4.781609195,4.781609195
50,3,7,5,13,Arkansas,Calhoun County,5277,53,49,44,5,0,47,47,1,175,9.332444529,8.380154271,0.952290258,0,8.951528426,8.951528426
50,3,7,5,15,Arkansas,Carroll County,28223,276,327,302,25,45,205,250,1,230,11.64322592,10.75307103,0.890154887,1.602278797,7.299270073,8.90154887
50,3,7,5,17,Arkansas,Chicot County,10438,-201,121,155,-34,4,-171,-167,0,764,11.48170992,14.70797552,-3.226265598,0.379560659,-16.22621815,-15.84665749
50,3,7,5,19,Arkansas,Clark County,22061,-119,224,241,-17,5,-106,-101,-1,2758,10.12635338,10.89487127,-0.768517891,0.226034674,-4.791935083,-4.565900409
50,3,7,5,21,Arkansas,Clay County,14847,-63,183,196,-13,-1,-48,-49,-1,125,12.29962698,13.17337097,-0.873743993,-0.067211076,-3.226131666,-3.293342743
50,3,7,5,23,Arkansas,Cleburne County,24965,-81,219,385,-166,-5,92,87,-2,339,8.758073224,15.39661275,-6.638539521,-0.19995601,3.679190578,3.479234568
50,3,7,5,25,Arkansas,Cleveland County,8018,-163,84,85,-1,0,-163,-163,1,52,10.37101056,10.49447497,-0.123464411,0,-20.12469906,-20.12469906
50,3,7,5,27,Arkansas,Columbia County,23537,-163,256,284,-28,28,-164,-136,1,2064,10.83896098,12.02447234,-1.185511358,1.185511358,-6.94370938,-5.758198023
50,3,7,5,29,Arkansas,Conway County,20891,43,216,212,4,5,34,39,0,286,10.35003234,10.15836508,0.191667266,0.239584082,1.629171758,1.86875584
50,3,7,5,31,Arkansas,Craighead County,108558,1521,1446,1005,441,83,998,1081,-1,3754,13.41404021,9.323036249,4.091003966,0.769962198,9.258099678,10.02806188
50,3,7,5,33,Arkansas,Crawford County,63406,489,703,652,51,73,369,442,-4,540,11.13019799,10.32274408,0.807453908,1.155767358,5.84216651,6.997933868
50,3,7,5,35,Arkansas,Crittenden County,48342,-388,700,541,159,-8,-541,-549,2,1038,14.42228449,11.14636558,3.275918906,-0.164826108,-11.14636558,-11.31119169
50,3,7,5,37,Arkansas,Cross County,16676,-176,212,208,4,3,-182,-179,-1,225,12.6461465,12.40753997,0.238606538,0.178954903,-10.85659747,-10.67764257
50,3,7,5,39,Arkansas,Dallas County,7182,-172,76,82,-6,0,-165,-165,-1,401,10.45679692,11.28233352,-0.825536599,0,-22.70225647,-22.70225647
50,3,7,5,41,Arkansas,Desha County,11512,-220,150,174,-24,5,-202,-197,1,56,12.90655653,14.97160558,-2.065049045,0.430218551,-17.38082946,-16.95061091
50,3,7,5,43,Arkansas,Drew County,18328,-45,221,204,17,-1,-60,-61,-1,904,12.04326858,11.1168633,0.926405275,-0.054494428,-3.269665677,-3.324160105
50,3,7,5,45,Arkansas,Faulkner County,124806,1409,1513,896,617,45,745,790,2,4199,12.19163346,7.219896617,4.971736844,0.362606415,6.003150647,6.365757062
50,3,7,5,47,Arkansas,Franklin County,17810,-34,178,192,-14,31,-50,-19,-1,447,9.984854434,10.77018006,-0.78532563,1.738935323,-2.804734392,-1.065799069
50,3,7,5,49,Arkansas,Fulton County,12269,157,92,197,-105,6,258,264,-2,165,7.54686026,16.16012469,-8.613264427,0.492186539,21.16402116,21.6562077
50,3,7,5,51,Arkansas,Garland County,99154,710,1070,1354,-284,23,970,993,1,2167,10.83006913,13.70459215,-2.874523021,0.232795879,9.817913137,10.05070902
50,3,7,5,53,Arkansas,Grant County,18188,92,181,183,-2,-5,101,96,-2,143,9.9768493,10.08709073,-0.110241429,-0.275603572,5.567192151,5.291588579
50,3,7,5,55,Arkansas,Greene County,45325,348,570,503,67,-7,290,283,-2,602,12.62430511,11.14039556,1.483909548,-0.155035326,6.422892073,6.267856747
50,3,7,5,57,Arkansas,Hempstead County,21741,-140,315,233,82,-9,-213,-222,0,301,14.44225391,10.68268305,3.759570859,-0.412635826,-9.765714548,-10.17835037
50,3,7,5,59,Arkansas,Hot Spring County,33701,101,344,377,-33,2,135,137,-3,2347,10.22273072,11.20339965,-0.980668935,0.059434481,4.011827462,4.071261943
50,3,7,5,61,Arkansas,Howard County,13341,-36,168,164,4,7,-47,-40,0,181,12.5757916,12.27636799,0.29942361,0.523991317,-3.518227412,-2.994236096
50,3,7,5,63,Arkansas,Independence County,37678,269,456,424,32,9,230,239,-2,954,12.14591074,11.29356613,0.852344614,0.239721923,6.12622691,6.365948833
50,3,7,5,65,Arkansas,Izard County,13593,-87,115,193,-78,6,-14,-8,-1,993,8.433249001,14.1531918,-5.719942801,0.4399956,-1.0266564,-0.5866608
50,3,7,5,67,Arkansas,Jackson County,16811,-246,203,211,-8,-1,-236,-237,-1,2218,11.98771702,12.46013937,-0.472422346,-0.059052793,-13.93645919,-13.99551199
50,3,7,5,69,Arkansas,Jefferson County,68114,-1155,851,834,17,13,-1190,-1177,5,5400,12.3887235,12.14124018,0.247483313,0.189251945,-17.32383192,-17.13457997
50,3,7,5,71,Arkansas,Johnson County,26742,253,357,248,109,30,115,145,-1,620,13.41323665,9.31787868,4.095357968,1.127162744,4.320790517,5.44795326
50,3,7,5,73,Arkansas,Lafayette County,6682,-140,78,97,-19,-2,-119,-121,0,96,11.5521327,14.36611374,-2.813981043,-0.296208531,-17.62440758,-17.92061611
50,3,7,5,75,Arkansas,Lawrence County,16434,-156,190,253,-63,0,-94,-94,1,652,11.50678295,15.32218992,-3.815406977,0,-5.692829457,-5.692829457
50,3,7,5,77,Arkansas,Lee County,8985,-162,82,117,-35,-1,-125,-126,-1,1753,9.044782705,12.90536069,-3.860577984,-0.110302228,-13.78777851,-13.89808074
50,3,7,5,79,Arkansas,Lincoln County,13383,-90,104,154,-50,3,-43,-40,0,3737,7.745010426,11.46857313,-3.723562705,0.223413762,-3.202263926,-2.978850164
50,3,7,5,81,Arkansas,Little River County,12326,-67,156,170,-14,-4,-50,-54,1,123,12.62186982,13.75460172,-1.132731907,-0.323637688,-4.045471095,-4.369108783
50,3,7,5,83,Arkansas,Logan County,21737,-16,274,292,-18,22,-19,3,-1,580,12.60059784,13.42837434,-0.8277765,1.011726834,-0.873764084,0.13796275
50,3,7,5,85,Arkansas,Lonoke County,73657,779,936,682,254,52,474,526,-1,572,12.77510492,9.308356365,3.466748558,0.709728051,6.46944416,7.179172211
50,3,7,5,87,Arkansas,Madison County,16481,132,243,141,102,19,13,32,-2,79,14.80353335,8.589704539,6.213828815,1.157477917,0.791958575,1.949436491
